Back;Table 7. Planetary pressures-adjusted Human Development Index;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;SDG9.4;;;;SDG8.4, 12.2;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Human Development Index (HDI) ;;Planetary pressures-adjusted HDI (PHDI);;;;;;Adjustment factor for planetary pressures;;Carbon dioxide emissions per capita (production);;Carbon dioxide emissions (production) index;;Material footprint per capita;;Material footprint index;;;;;;;;;;
HDI rank;Country;Value;;Value;;Difference from HDI value (%);;Difference from HDI rank;;Value;;(tonnes);;Value;;(tonnes);;Value;;;;;;;;;;
;;2021;;2021;;2021;;2021;a;2021;;2020;;2020;;2019;;2019;;;;;;;;;;
;Very high human development;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Switzerland;0,962;;0,796;;17,3;;-7;;0,828;;3,7;;0,946;;31,1;;0,710;;;;;;;;;;
2;Norway;0,961;;0,734;;23,6;;-34;;0,764;;7,6;;0,889;;38,8;;0,639;;;;;;;;;;
3;Iceland;0,959;;0,633;;34,0;;-91;;0,660;;8,6;;0,875;;59,6;;0,445;;;;;;;;;;
4;Hong Kong, China (SAR);0,952;;..;;..;;..;;..;;4,2;;0,939;;..;;..;;;;;;;;;;
5;Australia;0,951;;0,637;;33,0;;-87;;0,670;;15,4;;0,776;;46,8;;0,564;;;;;;;;;;
6;Denmark;0,948;;0,803;;15,3;;0;;0,847;;4,5;;0,934;;25,9;;0,759;;;;;;;;;;
7;Sweden;0,947;;0,803;;15,2;;1;;0,848;;3,8;;0,944;;26,7;;0,751;;;;;;;;;;
8;Ireland;0,945;;0,682;;27,8;;-58;;0,722;;6,8;;0,902;;49,3;;0,542;;;;;;;;;;
9;Germany;0,942;;0,804;;14,6;;4;;0,854;;7,7;;0,888;;19,4;;0,819;;;;;;;;;;
10;Netherlands;0,941;;0,745;;20,8;;-18;;0,791;;8,1;;0,883;;32,3;;0,700;;;;;;;;;;
11;Finland;0,940;;0,731;;22,2;;-28;;0,777;;7,1;;0,897;;36,7;;0,658;;;;;;;;;;
12;Singapore;0,939;;0,665;;29,2;;-61;;0,709;;7,8;;0,887;;50,4;;0,531;;;;;;;;;;
13;Belgium;0,937;;0,742;;20,8;;-17;;0,792;;7,2;;0,895;;33,5;;0,689;;;;;;;;;;
13;New Zealand;0,937;;0,756;;19,3;;-6;;0,807;;6,9;;0,899;;30,7;;0,714;;;;;;;;;;
15;Canada;0,936;;0,687;;26,6;;-46;;0,734;;14,2;;0,793;;35,1;;0,674;;;;;;;;;;
16;Liechtenstein;0,935;;..;;..;;..;;..;;3,7;;0,946;;..;;..;;;;;;;;;;
17;Luxembourg;0,930;;0,645;;30,6;;-73;;0,693;;13,1;;0,810;;45,5;;0,577;;;;;;;;;;
18;United Kingdom;0,929;;0,819;;11,8;;15;;0,882;;4,9;;0,929;;17,9;;0,834;;;;;;;;;;
19;Japan;0,925;;0,792;;14,4;;8;;0,856;;8,1;;0,881;;18,2;;0,831;;;;;;;;;;
19;Korea (Republic of);0,925;;0,752;;18,7;;-4;;0,813;;11,7;;0,830;;22,0;;0,795;;;;;;;;;;
21;United States;0,921;;0,698;;24,2;;-36;;0,758;;14,2;;0,793;;29,7;;0,724;;;;;;;;;;
22;Israel;0,919;;0,744;;19,0;;-8;;0,809;;6,5;;0,905;;30,8;;0,714;;;;;;;;;;
23;Malta;0,918;;0,720;;21,6;;-22;;0,784;;3,6;;0,947;;40,7;;0,621;;;;;;;;;;
23;Slovenia;0,918;;0,769;;16,2;;8;;0,838;;6,0;;0,912;;25,4;;0,764;;;;;;;;;;
25;Austria;0,916;;0,766;;16,4;;9;;0,836;;6,7;;0,902;;24,6;;0,771;;;;;;;;;;
26;United Arab Emirates;0,911;;0,518;;43,1;;-105;;0,569;;15,2;;0,779;;69,0;;0,358;;;;;;;;;;
27;Spain;0,905;;0,819;;9,5;;24;;0,905;;4,5;;0,935;;13,5;;0,875;;;;;;;;;;
