Country Name;Country Code;Series Name;Series Code;2021 [YR2021]
Afghanistan;AFG;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;27,01612903
Afghanistan;AFG;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Afghanistan;AFG;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Afghanistan;AFG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-20,69999999
Afghanistan;AFG;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;38,125
Afghanistan;AFG;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,827933856
Albania;ALB;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;35,71428571
Albania;ALB;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;51,653
Albania;ALB;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;58,828
Albania;ALB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;8,908527818
Albania;ALB;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;91,25
Albania;ALB;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,220844661
Algeria;DZA;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;8,108108108
Algeria;DZA;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;15,909
Algeria;DZA;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;40,055
Algeria;DZA;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;3,4
Algeria;DZA;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;57,5
Algeria;DZA;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;5,585446668
American Samoa;ASM;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
American Samoa;ASM;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
American Samoa;ASM;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
American Samoa;ASM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-1,866251944
American Samoa;ASM;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
American Samoa;ASM;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Andorra;AND;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;46,42857143
Andorra;AND;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Andorra;AND;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Andorra;AND;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;8,287199781
Andorra;AND;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
Andorra;AND;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Angola;AGO;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;29,54545455
Angola;AGO;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;74,464
Angola;AGO;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;76,501
Angola;AGO;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;1,199210521
Angola;AGO;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;79,375
Angola;AGO;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,289922653
Antigua and Barbuda;ATG;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;11,11111111
Antigua and Barbuda;ATG;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Antigua and Barbuda;ATG;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Antigua and Barbuda;ATG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,554899818
Antigua and Barbuda;ATG;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;66,25
Antigua and Barbuda;ATG;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Argentina;ARG;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;44,74708171
Argentina;ARG;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;50,283
Argentina;ARG;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;60,36
Argentina;ARG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;10,39824946
Argentina;ARG;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;79,375
Argentina;ARG;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,630928835
Armenia;ARM;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;33,64485981
Armenia;ARM;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;57,779
Armenia;ARM;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;62,442
Armenia;ARM;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5,699999999
Armenia;ARM;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;87,5
Armenia;ARM;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;4,470781563
Aruba;ABW;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;..
Aruba;ABW;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;..
Aruba;ABW;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;..
Aruba;ABW;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;17,1725086
Aruba;ABW;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;..
Aruba;ABW;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Australia;AUS;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;31,12582781
Australia;AUS;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;61,216
Australia;AUS;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;65,85
Australia;AUS;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,236212439
Australia;AUS;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;96,875
Australia;AUS;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,9891227
Austria;AUT;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;40,43715847
Austria;AUT;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;55,915
Austria;AUT;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;61,16
Austria;AUT;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;4,556850913
Austria;AUT;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;96,875
Austria;AUT;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;0,873694847
Azerbaijan;AZE;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;18,18181818
Azerbaijan;AZE;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;64,097
Azerbaijan;AZE;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;66,659
Azerbaijan;AZE;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;5,616451029
Azerbaijan;AZE;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;78,75
Azerbaijan;AZE;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;5,270059006
Bahamas, The;BHS;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;17,94871795
Bahamas, The;BHS;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;64,85
Bahamas, The;BHS;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;71,112
Bahamas, The;BHS;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;16,98466528
Bahamas, The;BHS;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;81,25
Bahamas, The;BHS;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Bahrain;BHR;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;15
Bahrain;BHR;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;43,318
Bahrain;BHR;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;70,994
Bahrain;BHR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,669708714
Bahrain;BHR;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;65
Bahrain;BHR;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;3,553882997
Bangladesh;BGD;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;20,85714286
Bangladesh;BGD;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;37,104
Bangladesh;BGD;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;58,246
Bangladesh;BGD;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,938679124
Bangladesh;BGD;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;49,375
Bangladesh;BGD;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,196646986
Barbados;BRB;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;20
Barbados;BRB;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;57,617
Barbados;BRB;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;60,671
Barbados;BRB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;-0,189272866
Barbados;BRB;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;80
Barbados;BRB;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;..
Belarus;BLR;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;40
Belarus;BLR;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;57,69
Belarus;BLR;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;63,24
Belarus;BLR;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;2,438866081
Belarus;BLR;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;75,625
Belarus;BLR;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,11835004
Belgium;BEL;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;42
Belgium;BEL;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;50,042
Belgium;BEL;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;54,49
Belgium;BEL;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;6,285931393
Belgium;BEL;Women Business and the Law Index Score (scale 1-100);SG.LAW.INDX;100
Belgium;BEL;Military expenditure (% of GDP);MS.MIL.XPND.GD.ZS;1,050344049
Belize;BLZ;Proportion of seats held by women in national parliaments (%);SG.GEN.PARL.ZS;12,5
Belize;BLZ;Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);SL.TLF.CACT.FE.ZS;49,147
Belize;BLZ;Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate);SL.TLF.CACT.ZS;64,299
Belize;BLZ;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;15,22110553
